cutoff_date,rank,ticker,company,cik,total_score,selected_top_10,indicator_Return on equity,indicator_Net profit margin,indicator_Margin consistency,indicator_Liabilities to assets,indicator_Positive free cash flow,indicator_Revenue growth,indicator_Earnings growth,points_Return on equity,points_Net profit margin,points_Margin consistency,points_Liabilities to assets,points_Positive free cash flow,points_Revenue growth,points_Earnings growth
2022-09-10,1,FAST,FASTENAL CO,815556,100,True,0.320324133393358,0.15388710509241543,0.008065767630643489,0.29234705745522216,5,0.08169888079730314,0.12445175304167577,20,15,10,15,20,10,10
2022-09-10,2,GRMN,GARMIN LTD,1121788,100,True,0.1861005006330461,0.21718734164259215,0.01596519121129176,0.22156523957762927,5,0.12402335017031252,0.11151224545632377,20,15,10,15,20,10,10
2022-09-10,3,INTU,INTUIT INC.,896878,100,True,0.15705055112124666,0.16234480590916234,0.026501486430755936,0.40718973101608136,5,0.20554580712099213,0.11660954010083024,20,15,10,15,20,10,10
2022-09-10,4,MPWR,"Monolithic Power Systems, Inc.",1280452,100,True,0.2189686651237779,0.20038367342883495,0.02177276469928917,0.2155597244336544,5,0.2654929139801576,0.38802492678852185,20,15,10,15,20,10,10
2022-09-10,5,ADBE,ADOBE INC.,796343,95,True,0.3436798403478137,0.3054798859676908,0.05989554765985386,0.4568114239565361,5,0.21257343589279176,0.2989169925927204,20,15,5,15,20,10,10
2022-09-10,6,GOOGL,Alphabet Inc.,1652044,95,True,0.3206932403164206,0.2951167728237792,0.057782600378003576,0.2995897213222441,5,0.23470508513657284,0.5653986478449284,20,15,5,15,20,10,10
2022-09-10,7,DHR,DANAHER CORPORATION,313616,95,True,0.15148411100514522,0.21841578107493295,0.030684383320955275,0.4570229851894595,5,0.1258837348223465,0.26754101631880833,20,15,5,15,20,10,10
2022-09-10,8,ISRG,"Intuitive Surgical, Inc.",1035267,95,True,0.15759548089457578,0.29852366858724017,0.037820630354131635,0.1182958317963851,5,0.16142394067370547,0.26252844913251305,20,15,5,15,20,10,10
2022-09-10,9,MA,Mastercard Incorporated,1141391,95,True,0.43274772585237137,0.3733525041936257,0.03936204173327768,0.4737396433085241,5,0.131093071432979,0.20805937705108435,20,15,5,15,20,10,10
2022-09-10,10,META,"Meta Platforms, Inc.",1326801,95,True,0.3110175416421442,0.3338449405998525,0.04887078134413516,0.24765794911649708,5,0.30506458322664076,0.2537477033895732,20,15,5,15,20,10,10
2022-09-10,11,TER,"TERADYNE, INC.",97210,95,False,0.42545217888306897,0.27399989359636456,0.0525511393923511,0.32694409261240215,5,0.14737089193302988,0.4086311996801517,20,15,5,15,20,10,10
2022-09-10,12,AMAT,APPLIED MATERIALS INC /DE,6951,93,False,0.5159255202628696,0.25530069808784633,0.02906546010066565,0.5257696030977734,5,0.1192172341896598,0.1373316726123075,20,15,10,8,20,10,10
2022-09-10,13,LRCX,LAM RESEARCH CORPORATION,707549,93,False,0.7484890156103496,0.2673289356342666,0.022521976146026648,0.6348859989560139,5,0.11672731718654616,0.17933951444143803,20,15,10,8,20,10,10
2022-09-10,14,ANET,"Arista Networks, Inc.",1596532,90,False,0.23040596167280755,0.2852250497534461,0.06574013325661383,0.30619072971345535,5,0.15681392169604869,0.1872535512985618,20,15,0,15,20,10,10
2022-09-10,15,REGN,"REGENERON PHARMACEUTICALS, INC.",872589,90,False,0.5420737662825862,0.5024546252107742,0.10891931264352016,0.2620818720807712,5,0.2862184808517372,0.6111284132757937,20,15,0,15,20,10,10
